video_id,comment_id,video_title,channel_name,channel_id,author_name,author_channel_id,text,source_query,source_group,dataset_sources,author_handle,published_text,like_count_text,reply_count,is_pinned,viewer_rating,like_count_bruto,like_count_imputado,like_count,texto_original,n_emojis,texto_limpio,longitud_original,tokens_limpios,apto_para_texto,sentimiento,prob_pos,prob_neg,prob_neu,puntaje_sentimiento,confianza_sentimiento,tramo_likes
ndAZjHqzzT8,Ugw4St_YnT9_Ya5xSPt4AaABAg,Internet: escoger el menos malo,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@daniloarevalo3170,UCZOmq6MwFDVoCaEl99BRRaw,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@daniloarevalo3170,hace 1 año, ,0,False,,,True,0,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",6,pequeño truco tenés plan mensual red ilimitado mandan mensaje consumistir plan venir caos verifica consumo dato utilizar red mínimo internet ende recarga adicional averiguar consumistir dato recargar negocio redondo empresa,422,30,True,NEG,0.005493394564837217,0.9142566323280334,0.08024998009204865,-0.9087632377631962,0.9142566323280334,0
6W4u8sGEnGM,Ugw4ccnmIWJaE6VNRWN4AaABAg,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@vitalianochavez8382,UCFybmWapGvBKcQod7cPPH9w,Que bien que cambio de nombre,Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,@vitalianochavez8382,hace 5 días,1,0,False,,1,False,1,Que bien que cambio de nombre,0,cambio nombre,29,2,True,POS,0.8997505307197571,0.024983489885926247,0.0752660259604454,0.8747670408338308,0.8997505307197571,1–2
n8iP75gIpmw,Ugw5E402-fn52PLXFIJ4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@andyB5280,UCh5ESQvtzyHDhCA7XyekCFA,Tiene un poquito de oro y no habla como resolver los problemas .,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@andyB5280,hace 2 años, ,0,False,,,True,0,Tiene un poquito de oro y no habla como resolver los problemas .,0,poquito oro resolver problema,64,4,True,NEG,0.025058439001441002,0.7196908593177795,0.2552507817745209,-0.6946324203163385,0.7196908593177795,0
n8iP75gIpmw,Ugw5URsiAF9QVoniY-l4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@cesarandreas7824,UCWIZUtKJ636y-4TYrNvok0g,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@cesarandreas7824,hace 2 años,5,0,False,,5,False,5,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",0,diputado alcanzar sueldo buscar trabajo departamento capital,118,7,True,NEG,0.006952648051083088,0.8866135478019714,0.10643378645181656,-0.8796608997508883,0.8866135478019714,3–10
n8iP75gIpmw,Ugw5xMAuDaygo77ynI94AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@jor77cas,UCzoL2l5H5eVlorWGH8AZfAg,"Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@jor77cas,hace 2 años (editado),6,0,False,,6,False,6,"Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",0,lamentable excusa reclamar trabajo sueldon costear alimento restaurante lujo pueblo luchar pan mesa llegar,253,14,True,NEG,0.0030865068547427654,0.9809203147888184,0.015993136912584305,-0.9778338079340756,0.9809203147888184,3–10
TT4qJ5FXHYE,Ugw6cfXYfV4H-asKlDR4AaABAg,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@rotorairgroup8409,UCKVzDUqbtdSMBcexaEtMmzQ,No se ve un deporte dinamico ni entretenido. El trasfondo de este juego era bastante macabro y refleja la oscuridad de las culturas pre colombinas en America. No le encuentro sentido a recrear algo tan negativo y arcaico.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@rotorairgroup8409,hace 2 años, ,0,False,,,True,0,No se ve un deporte dinamico ni entretenido. El trasfondo de este juego era bastante macabro y refleja la oscuridad de las culturas pre colombinas en America. No le encuentro sentido a recrear algo tan negativo y arcaico.,0,deporte dinamico entretenido trasfondo juego macabro reflejar oscuridad cultura pre colombina américa encontrar sentido recrear negativo arcaico,221,17,True,NEG,0.003525074105709791,0.97502201795578,0.0214528925716877,-0.9714969438500702,0.97502201795578,0
j43HgwYFKfk,Ugw74asIfir0_SVC6OB4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@eustaquiogomez9975,UCNpt5CQlTzNjlAKY6CJtClQ,Denle golpe universitario (de estado). Lo puede hacer el CSU?,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@eustaquiogomez9975,hace 1 año, ,0,False,,,True,0,Denle golpe universitario (de estado). Lo puede hacer el CSU?,0,denle golpe universitario csu,61,4,True,NEU,0.016182078048586845,0.2983644902706146,0.6854534149169922,-0.2821824122220278,0.6854534149169922,0
n8iP75gIpmw,Ugw86zOgTwKzYotlT9l4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@yeniferaguirre4498,UCut6b9S98nv84cVX89PmKzA,Y el pueblo muriéndose de hambre muchas madres de familia ganando 50 quetzales al día y en algunos departamentos solo ganan 30 te voy a dar mención una aldea llamada el jabalí 30 quetzales al día gana algunas personas ganan 300 quetzales a la semana fiestas sanguijuelas se los comieron en un almuerzo,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@yeniferaguirre4498,hace 2 años,1,0,False,,1,False,1,Y el pueblo muriéndose de hambre muchas madres de familia ganando 50 quetzales al día y en algunos departamentos solo ganan 30 te voy a dar mención una aldea llamada el jabalí 30 quetzales al día gana algunas personas ganan 300 quetzales a la semana fiestas sanguijuelas se los comieron en un almuerzo,0,pueblo morir hambre madre familia ganar quetzales departamento ganar mención aldea llamado jabalí quetzal ganar persona ganar quetzales semana fiesta sanguijuela comer almuerzo,301,23,True,NEG,0.006528511643409729,0.9045087099075317,0.08896276354789734,-0.897980198264122,0.9045087099075317,1–2
j43HgwYFKfk,Ugw8iZ_G2Cwq-9ZYctt4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@aguilar4254,UCQyOePccUP-fIJYzchAgZYw,"Pues son muchos los alumnos hay que unirse se han quedado con la pata del Walter en el cuello, fuera hay que sacarlos",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@aguilar4254,hace 6 meses, ,0,False,,,True,0,"Pues son muchos los alumnos hay que unirse se han quedado con la pata del Walter en el cuello, fuera hay que sacarlos",0,alumno unir quedar pata walter cuello sacar,117,7,True,NEG,0.011529780924320221,0.9448848962783813,0.04358530417084694,-0.9333551153540611,0.9448848962783813,0
n8iP75gIpmw,Ugw8pyxscJNUQpfoKuF4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@welfrealdana5559,UCOLGv5Pf6BF2wFcwUzgcvHg,Todos lis que trabajan en la capital pagamos apartamento y no tenemos carro y gasolina gratis,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@welfrealdana5559,hace 2 años,4,0,False,,4,False,4,Todos lis que trabajan en la capital pagamos apartamento y no tenemos carro y gasolina gratis,0,trabajar capital pagar apartamento carro gasolina gratis,93,7,True,NEG,0.010612694546580315,0.7940722107887268,0.19531509280204773,-0.7834595162421465,0.7940722107887268,3–10
06mFNPU0aB8,Ugw9_Qw_QaSdggWuKJt4AaABAg,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,@ruddydepaz322,UCAxvOOHQk7dYPOajzFEVtbA,Las dos se ubieran vestido de rosita con tacones y medias.Dia y noche no les ba faltar de todos calibres .delen una bolsa de pintalabios también .,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,@ruddydepaz322,hace 2 semanas, ,0,False,,,True,0,Las dos se ubieran vestido de rosita con tacones y medias.Dia y noche no les ba faltar de todos calibres .delen una bolsa de pintalabios también .,0,ubeír vestido rosita tacón media noche faltar calibre delar bolsa pintalabio,146,11,True,NEU,0.06207885593175888,0.12266004830598831,0.8152611255645752,-0.06058119237422943,0.8152611255645752,0
n8iP75gIpmw,Ugw9eye2GML6RHRSu-14AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@MegaKristenstewart,UCQ_-LPP8JAbfkc-b1Q6NvWw,La gente muriendose de hambre y esos ladrones comiendo de maravilla que verguenza...,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@MegaKristenstewart,hace 2 años,31,0,False,,31,False,31,La gente muriendose de hambre y esos ladrones comiendo de maravilla que verguenza...,0,gente morir hambre ladrón comer maravilla verguenzar,84,7,True,NEG,0.009919611737132072,0.9528023600578308,0.03727799654006958,-0.9428827483206987,0.9528023600578308,11–50
lj983NWyAQY,UgwA5aTmgACLCuTUT494AaABAg,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,@melvinperez6710,UCXmrpc6Li0spcKxtS0Q_ptg,Guatemala nunca se tube que llamar guatemala dino guatebella guatehermosa guatelinda la eterna primavera es guatebella abrazos hnos de un salvadoreno que viva el amor y la armonia,Municipalidad de Guatemala,topic,lj983NWyAQY_out_comments.csv | youtube_guatemala_plus_comments.csv,@melvinperez6710,hace 6 años,10,0,False,,10,False,10,Guatemala nunca se tube que llamar guatemala dino guatebella guatehermosa guatelinda la eterna primavera es guatebella abrazos hnos de un salvadoreno que viva el amor y la armonia,0,guatemala tubar llamar guatemala dino guatebella guatehermós guatelinda eterno primavera guatebello abrazo hno salvadoreño vivir amor armonía,179,17,True,POS,0.8579168319702148,0.010685136541724205,0.13139796257019043,0.8472316954284906,0.8579168319702148,3–10
n8iP75gIpmw,UgwARHTnVAzzPrHbNox4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@belvettzapeta1251,UCZ51R_9Q9C0c8I3pAWhtmjQ,Me parece excelente esta entrevista,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@belvettzapeta1251,hace 2 años,8,0,False,,8,False,8,Me parece excelente esta entrevista,0,excelente entrevista,35,2,True,POS,0.9737787246704102,0.0029452969320118427,0.023275967687368393,0.9708334277383983,0.9737787246704102,3–10
X_FAIef8qlE,UgwBIwUPLGxEWAu3Mh14AaABAg,Cruzando la ciudad a puro Transmetro,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@elizabethmonterroso7719,UCPLW0HE3siElqCgXfgWxMqg,"¿Como se subscribe uno al boletín informativo? 
Yo intenté desde la pagina web pero  los teléfonos que tienen colocados  dice telgua que no existen. Y WhatsApp igual dice que ese teléfono no existe.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@elizabethmonterroso7719,hace 5 meses, ,0,False,,,True,0,"¿Como se subscribe uno al boletín informativo? 
Yo intenté desde la pagina web pero  los teléfonos que tienen colocados  dice telgua que no existen. Y WhatsApp igual dice que ese teléfono no existe.",0,subscribir boletín informativo intentar página web teléfono colocado telguo whatsapp teléfono,198,11,True,NEG,0.0033685278613120317,0.891575276851654,0.10505611449480057,-0.888206748990342,0.891575276851654,0
OkXlHx0hx-8,UgwCW5PErySUmwse3bZ4AaABAg,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@WilR-s8r,UCxhtlxPV8AYWaNNyU6S9H8Q,Pero hay que ver el lado bueno si los deportan por la Frontera los carteles los secuestran para sacar dinero a los familiares en USA,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,@WilR-s8r,hace 1 día, ,0,False,,,True,0,Pero hay que ver el lado bueno si los deportan por la Frontera los carteles los secuestran para sacar dinero a los familiares en USA,0,deportar frontera cartel secuestrar sacar dinero familiar,132,7,True,NEU,0.061671022325754166,0.4655875563621521,0.47274139523506165,-0.40391653403639793,0.47274139523506165,0
yLZS3JiEBg8,UgwCfRlzeiXz172UQQV4AaABAg,Arroz con pollo a la MONOPOLIO,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@hashojea7348,UCvcu1kR8xMYy_I1Ty-2mV2Q,"Este video debe llegar a muchas personas, es muy buena información",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@hashojea7348,hace 2 años, ,0,False,,,True,0,"Este video debe llegar a muchas personas, es muy buena información",0,video llegar persona información,66,4,True,POS,0.9616618156433105,0.0028262624982744455,0.03551185876131058,0.9588355531450361,0.9616618156433105,0
j43HgwYFKfk,UgwCw9bhAw6suYQfCWx4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@josecastillo4390,UCaKAjTW9MVub_clgr4DRYjQ,Qué lujooo de contenidooooo 🔥,@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@josecastillo4390,hace 1 año,6,0,False,,6,False,6,Qué lujooo de contenidooooo 🔥,1,lujoo contenidoo,29,2,True,POS,0.7671719789505005,0.0306214801967144,0.2022065669298172,0.7365504987537861,0.7671719789505005,3–10
n8iP75gIpmw,UgwEOUk-ofXNqkHW5Cx4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@markoherrera,UCxff05WuyvwELNITi7bj7UA,"Desde que dijo que qué hacían los periodistas por el país lo deje de escuchar, no me quiero picar el hígado",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@markoherrera,hace 2 años,3,0,False,,3,False,3,"Desde que dijo que qué hacían los periodistas por el país lo deje de escuchar, no me quiero picar el hígado",0,periodista dejar escuchar picar hígado,107,5,True,NEG,0.0029706722125411034,0.9598258137702942,0.03720342740416527,-0.9568551415577531,0.9598258137702942,3–10
n8iP75gIpmw,UgwEQHx8Ik7SbxBTQ914AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@SoniaMarroquin-y6e,UCZLG9qH0tUjNhEGFIUt0CYw,Otros nuevos corruptos,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@SoniaMarroquin-y6e,hace 2 años,1,0,False,,1,False,1,Otros nuevos corruptos,0,corrupto,22,1,True,NEU,0.12121540307998657,0.35485905408859253,0.5239256024360657,-0.23364365100860596,0.5239256024360657,1–2
j43HgwYFKfk,UgwEjfj5ueeimHg-Hbt4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@armindapenados2841,UCwgCc9Jd_gG-uLE_SY-FfPg,¡¡¡La USAC NO tiene rector sólo un usurpador!!!,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@armindapenados2841,hace 1 año, ,0,False,,,True,0,¡¡¡La USAC NO tiene rector sólo un usurpador!!!,0,usac rector usurpador,47,3,True,NEG,0.01612292416393757,0.879448652267456,0.10442844778299332,-0.8633257281035185,0.879448652267456,0
n8iP75gIpmw,UgwG3XiEgFlHKtrtTqd4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@JacintaTzoy,UCXSkL3ejZ8qWYyF_M7s_QKA,"Entoces las mismas 💩😡 Junta Directiva haciéndose de las suyas con el dinero del Estado. Ya basta de tanto robo, barriles sin fondos..💩😡",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@JacintaTzoy,hace 2 años, ,0,False,,,True,0,"Entoces las mismas 💩😡 Junta Directiva haciéndose de las suyas con el dinero del Estado. Ya basta de tanto robo, barriles sin fondos..💩😡",4,entoz junta directivo dinero bastar robo barril fondo,135,8,True,NEG,0.0032945992425084114,0.9689444899559021,0.027760902419686317,-0.9656498907133937,0.9689444899559021,0
n8iP75gIpmw,UgwGm1V-_GN1ZPcijdl4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@byronpontaza,UChs3tU2BcKOT0CezykvAsGw,"Eso es lo que yo no entiendo de los periodistas, porque ahora atacan con tanto entusiasmo estas cosas, en el gobierno anterior estuvieron callados, o en ese tiempo también ellos recibían sus pagos",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@byronpontaza,hace 2 años,2,0,False,,2,False,2,"Eso es lo que yo no entiendo de los periodistas, porque ahora atacan con tanto entusiasmo estas cosas, en el gobierno anterior estuvieron callados, o en ese tiempo también ellos recibían sus pagos",0,entender periodista atacar entusiasmo gobierno callado tiempo recibir pago,196,9,True,NEG,0.0034088112879544497,0.9338313341140747,0.0627598837018013,-0.9304225228261203,0.9338313341140747,1–2
n8iP75gIpmw,UgwHY5LtTiQ0lBONp8N4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@johnmejia992,UC6PvO1_k5lHKGdAPo5_C6TA,"Tanto mierda este programa... tiene razón pero 
Y porque no le tira así a los corruptos",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@johnmejia992,hace 2 años,1,0,False,,1,False,1,"Tanto mierda este programa... tiene razón pero 
Y porque no le tira así a los corruptos",0,mierda programa razón tirar corrupto,87,5,True,NEG,0.008745262399315834,0.9452115893363953,0.046043168753385544,-0.9364663269370794,0.9452115893363953,1–2
